short,stem,long,stem_count,long_count
hcsae,"{'hierarch convolut spars autoencod', 'hierarch convolut spars auto encod'}","{'hierarchical convolutional sparse auto-encoder', 'hierarchical convolutional sparse autoencoder'}",2,2
hd,{'full high definit'},{'full high-definition'},1,1
hd-mtl,{'hierarch deep multi task learn'},{'hierarchical deep multi-task learning'},1,1
hdls,{'highdens lipoprotein'},{'highdensity lipoproteins'},1,1
hdn,{'hierarch diagnosi network'},{'hierarchical diagnosis network'},1,1
hdsm,{'high dimension and spars matrix'},{'high dimensional and sparse matrix'},1,1
heading 1,{'learn model introduct'},{'learning models introduction'},1,1
heeact,{'higher educ evalu & accredit council of taiwan'},{'higher education evaluation & accreditation council of taiwan'},1,1
hems,{'home energi manag system'},{'home energy management system'},1,1
hesss,{'hybrid esss'},{'hybrid esss'},1,1
hetnet,{'heterogen network'},{'heterogeneous network'},1,1
hetnets,{'heterogen network'},{'heterogeneous networks'},1,1
hev,{'hybrid electr vehicl'},{'hybrid electric vehicle'},1,1
hevc,{'high effici video code'},{'high efficiency video coding'},1,1
hf,"{'high frequenc', 'heart failur'}","{'heart failure', 'high-frequency'}",2,2
hfc-pga,{'hierarch fair competit base parallel genet algorithm'},{'hierarchical fair competition-based parallel genetic algorithm'},1,1
hfsw,{'high frequenc ( hf ) surfac wave'},{'high-frequency (hf) surface wave'},1,1
hga,{'hybrid genet algorithm'},{'hybrid genetic algorithm'},1,1
hgd,{'histogram of gradient diverg'},{'histograms of gradient divergence'},1,1
hie,{'hypox ischem encephalopathi'},{'hypoxic-ischemic encephalopathy'},1,1
hip,{'human interact proof'},{'human interactive proof'},1,1
hl7,{'health level 7'},{'health level 7'},1,1
hlid,{'histogram of local intens differ'},{'histogram of local intensity differences'},1,1
hm,{'hybrid metrolog'},{'hybrid metrology'},1,1
hmas,{'holon multi agent system'},{'holonic multi-agent system'},1,1
hmi,"{'human machin interfac', 'human machin interact'}","{'human-machine interaction', 'human-machine interface'}",2,2
hmi/hci,{'human machine/comput interfac'},{'human-machine/computer interface'},1,1
hmm,"{'artifici neural network ( ann ) /hidden markov model', 'hidden markovian model', 'hidden markov model'}","{'artificial neural network (ann)/hidden markov model', 'hidden markov models', 'hidden markovian models', 'hidden markov model'}",4,4
hmms,{'hidden markov model'},{'hidden markov models'},1,1
hmpa,{'hot method predict accuraci'},{'hot method prediction accuracy'},1,1
hnb,{'hidden naïv bay'},{'hidden naïve bayes'},1,1
hne,{'human neutrophil elastas'},{'human neutrophil elastase'},1,1
hnn,"{'hopfield neural network', 'hardwar neural network'}","{'hardware neural network', 'hopfield neural network'}",2,2
hoda,{'higher order discrimin analysi'},{'higher order discriminant analysis'},1,1
hog,{'histogram of orient gradient'},"{'histograms of oriented gradient', 'histograms of oriented gradients', 'histogram of oriented gradient', 'histogram of oriented gradients'}",4,4
hos,{'higher order spectra'},{'higher order spectra'},1,1
hosvd,{'higher order singular valu decomposit'},{'higher-order singular value decomposition'},1,1
hpa,{'harmoni progress analyz'},{'harmony progression analyzer'},1,1
hpc,{'high perform comput'},{'high-performance computing'},1,1
hpca,{'hybrid princip compon analysi'},{'hybrid principal component analysis'},1,1
hpr,{'human pose recoveri'},{'human pose recovery'},1,1
hr,{'heart rate'},{'heart rate'},1,1
hrf,{'hemodynam respons function'},{'hemodynamic response function'},1,1
hri,"{'human robot interact', 'human–robot interact'}","{'human–robot interaction', 'human robot interaction', 'human-robot interaction'}",3,3
hrv,"{'heart rate variabl', 'hard reproduc vulner'}","{'heart rate variability', 'hardly reproducible vulnerability'}",2,2
hs,{'hyperspectr'},{'hyperspectral'},1,1
hsi,"{'hyperspectr imageri', 'hyperspectr imag'}","{'hyperspectral imaging', 'hyperspectral image', 'hyperspectral imagery'}",3,3
hsis,{'hyperspectr imag'},{'hyperspectral images'},1,1
hsom,{'hierarch selforgan map'},{'hierarchical selforganizing maps'},1,1
hsr,{'high spatial resolut'},{'high spatial resolution'},1,1
hsrmi,{'high spatial resolut multispectr imageri'},{'high spatial resolution multispectral imagery'},1,1
hsv,{'hue satur valu'},{'hue saturation value'},1,1
ht,"{'random hough transform', 'hypothesi test'}","{'hypothesis testing', 'randomized hough transform'}",2,2
htks,{'head toe knee shoulder'},{'head-toes-knees-shoulders'},1,1
htm,{'hierarch tempor memori'},{'hierarchical temporal memory'},1,1
htr,{'handwritten text recognit'},{'handwritten text recognition'},1,1
hts,"{'highthroughput screen', 'high throughput screen'}","{'highthroughput screening', 'high-throughput screening'}",2,2
https,{'hyper text transfer protocol over secur socket layer'},{'hyper text transfer protocol over secure socket layer'},1,1
human skin,{'thermal damag tissu'},{'thermal damaged tissue'},1,1
hums,{'health usag and monitor system'},{'health usage and monitoring systems'},1,1
hvac,{'ventil and air condit'},{'ventilation and air-conditioning'},1,1
hvs,{'human visual system'},{'human visual system'},1,1
hw,{'holt winter'},{'holt-winters'},1,1
hwan'gok,{'grain loan system'},{'grain loan system'},1,1
hybrid,{'heterogen'},{'heterogeneous'},1,1
i&f,{'integr and fire'},{'integrate-and-fire'},1,1
i-cac,{'industri custom activ cycl'},{'industrial customer activity cycle'},1,1
i-rnn,{'ident recurr neural network'},{'identity-recurrent neural network'},1,1
ia,{'imag authent'},{'image authentication'},1,1
ibd,{'inflammatori bowel diseas'},{'inflammatory bowel disease'},1,1
ibe,{'intellig boost engin'},{'intelligence boosting engine'},1,1
ibsm,{'index of bad sampl matrix'},{'index of bad samples matrix'},1,1
ibvd,{'integr binocular vision detect'},{'integrative binocular vision detection'},1,1
ic,"{'integr circuit', 'imag cluster'}","{'integrated circuit', 'image clustering'}",2,2
ica,"{'independ compon analysi', 'imperialist competit algorithm'}","{'imperialist competitive algorithm', 'independent component analysis'}",2,2
icbp,{'improv circular back propag neural network'},{'improved circular back-propagation neural network'},1,1
icc,{'intra class correl coeffici'},{'intra-class correlation coefficient'},1,1
icf,{'disabl and health'},{'disability and health'},1,1
icks,{'inhibitori cytin knot'},{'inhibitory cytine knot'},1,1
icm,{'indian classic music'},{'indian classical music'},1,1
icp,{'intracrani pressur'},{'intracranial pressure'},1,1
icr,{'ideal cognit radio'},{'ideal cognitive radio'},1,1
ics,"{'counterfeit integr circuit', 'immun clonal strategi'}","{'immune clonal strategy', 'counterfeit integrated circuits'}",2,2
icsi,{'integr custom satisfact index'},{'integrated customer satisfaction index'},1,1
ict,{'inform and communic technolog'},"{'information and communication technology', 'information and communication technologies'}",2,2
icu,{'intens care unit'},{'intensive care unit'},1,1
id,"{'intrins dimension', 'intrus detect'}","{'intrusion detection', 'intrinsic dimensionality'}",2,2
id3,"{'iter dichotomis 3', 'iter dichotom 3'}","{'iterative dichotomizer 3', 'iterative dichotomiser 3'}",2,2
idc,{'independ compon analysi'},{'independent component analysis'},1,1
ide,"{'charact recognit . cross compil and integr develop environ', 'cross compil and integr develop environ'}","{'character recognition. cross compiler and integrated development environment', 'cross compiler and integrated development environment'}",2,2
idps,{'intrus detect and prevent system'},{'intrusion detection and prevention system'},1,1
ids,{'intrus detect system'},"{'intrusion detection system', 'intrusion detection systems'}",2,2
ie,"{'industri electron', 'inform extract'}","{'information extraction', 'industrial electronics'}",2,2
iec,{'intern electrotechn commiss'},{'international electrotechnical commission'},1,1
ieds,{'interict epileptiform discharg'},{'interictal epileptiform discharges'},1,1
ieeg,"{'intracrani eeg', 'invas eeg'}","{'intracranial eeg', 'invasive eeg'}",2,2
ielm,{'increment elm'},{'incremental elm'},1,1
if,{'instantan frequenc'},{'instantaneous frequency'},1,1
ifn/enit,"{""institut fur nachrichtentechnik/ecol national d'ingenieur de tuni""}","{""institut fur nachrichtentechnik/ecole nationale d'ingenieurs de tunis""}",1,1
ig,{'inform granul'},{'information granulation'},1,1
igbt,"{'isol gate bipolar transistor', 'insul gate bipolar transistor'}","{'insulated-gate bipolar transistor', 'isolated-gate bipolar transistor', 'insulated gate bipolar transistor'}",3,3
igbts,{'insul gate bipolar transistor'},"{'insulated gate bipolar transistors', 'insulated-gate bipolar transistors'}",2,2
igm,{'intern generat mechan'},{'internal generative mechanism'},1,1
igrt,{'imag guid radiotherapi'},{'image-guided radiotherapy'},1,1
igt,{'imag guid therapi'},{'image-guided therapy'},1,1
ihh,{'isol human heart'},{'isolated human hearts'},1,1
ihs,{'intens hue satur'},{'intensity-hue-saturation'},1,1
iicss,{'internet industri control system'},{'internet industrial control systems'},1,1
iie,{'intellig inhabit environ'},{'intelligent inhabited environments'},1,1
iif,{'indirect immunofluoresc'},{'indirect immunofluorescence'},1,1
iiot,"{'industri internet of thing', 'industri iot'}","{'industrial iot', 'industrial internet of things'}",2,2
ild,{'interstiti lung diseas'},{'interstitial lung disease'},1,1
ilp,{'induct logic program'},{'inductive logic programming'},1,1
im,"{'intens measur', 'induct motor'}","{'induction motors', 'induction motor', 'intensity measure'}",3,3
im/dd,{'intens modul direct detect'},{'intensity modulated direct detection'},1,1
imf,{'instantan mean frequenc'},{'instantaneous mean frequency'},1,1
imlbp,{'improv local binari pattern'},{'improved local binary pattern'},1,1
impe,{'integr model of peak estim'},{'integral model of peak estimation'},1,1
ims,{'induct motor'},{'induction motors'},1,1
imu,{'inerti measur unit'},{'inertial measurement unit'},1,1
imu/gps,{'inerti measur unit/glob posit system'},{'inertial measurement unit/global positioning system'},1,1
imus,{'inerti measur unit'},{'inertial measurement units'},1,1
in,{'hiv 1 integras'},{'hiv-1 integrase'},1,1
inertial navigation system,{'machin learn base in'},{'machine learning based ins'},1,1
ins,{'inerti navig system'},{'inertial navigation system'},1,1
insar,{'interferometr synthet apertur radar'},{'interferometric synthetic aperture radar'},1,1
instrument,{'current and voltag'},{'current and voltage'},1,1
iot,"{'internet of thing', 'internet of everyth', 'big data in internet of thing'}","{'internet of everything', 'internet of things', 'big data in internet of things', 'internet-of-things'}",4,4
iots,{'internet of thing'},{'internet of things'},1,1
iou,{'intersect over union'},{'intersection over union'},1,1
ip,{'imag process'},{'image processing'},1,1
ipca,{'increment princip compon analysi'},{'incremental principal component analysis'},1,1
ipd,"{""iter prison 's dilemma""}","{""iterated prisoner's dilemma""}",1,1
ipmsm,{'interior perman magnet synchron machin'},{'interior permanent magnet synchronous machine'},1,1
ipo,{'intra procedur optim'},{'intra-procedural optimizations'},1,1
ips,{'intrus prevent system'},{'intrusion prevention system'},1,1
ips2,{'industri product servic system'},{'industrial product-service system'},1,1
iqa,{'imag qualiti assess'},{'image quality assessment'},1,1
iqm,{'imag qualiti metric'},{'image quality metric'},1,1
ir,"{'inform retriev', 'imag retarget'}","{'information retrieval', 'image retargeting'}",2,2
iri,{'intern rough index'},{'international roughness index'},1,1
irls,{'iter reweight least squar'},{'iterative reweighted least squares'},1,1
irnn,{'ident recurr neural network'},{'identity-recurrent neural network'},1,1
ise,{'istanbul stock exchang'},{'istanbul stock exchange'},1,1
ism,{'implicit shape model'},{'implicit shape model'},1,1
isodata,{'iter self organ data analysi'},{'iterative self-organizing data analysis'},1,1
iss,{'individu stabl space'},{'individual stable space'},1,1
isvpmcd,{'increment semi supervis variabl predict mode base class discrimin'},{'incremental semi-supervised variable predictive mode-based class discriminate'},1,1
it,{'busi valu of inform technolog'},{'business value of information technology'},1,1
it2fknn,{'interv type 2 fuzzi k nearest neighbor'},{'interval type-2 fuzzy k-nearest neighbors'},1,1
it2fss,{'interv type 2 fuzzi set'},{'interval type-2 fuzzy sets'},1,1
itd,{'intrins time scale decomposit'},{'intrinsic time-scale decomposition'},1,1
itl,{'inform theoret learn'},{'information-theoretic learning'},1,1
its,{'intellig transport system'},"{'intelligent transportation systems', 'intelligent transport systems', 'intelligent transportation system'}",3,3
itss,{'intellig transport system'},{'intelligent transportation systems'},1,1
itv,{'iter tensor vote'},{'iterative tensor voting'},1,1
iui,{'intellig user interfac'},{'intelligent user interfaces'},1,1
ivr,{'integr voltag regul'},{'integrated voltage regulator'},1,1
ixlq,{'intermedi xml logic queri'},{'intermediate xml logical query'},1,1
j48,{'decis tree'},{'decision tree'},1,1
jade,{'java agent develop framework'},{'java agent development framework'},1,1
jc,{'join count'},{'join-count'},1,1
jdl,"{""joint director of laboratori '""}","{""joint directors of laboratories'""}",1,1
jecam,{'joint experi of crop assess and monitor'},{'joint experiment of crop assessment and monitoring'},1,1
jfa,{'joint factor analysi'},{'joint factor analysis'},1,1
jit,{'just in time'},{'just-in-time'},1,1
jnd,{'just notic differ'},{'just noticeable difference'},1,1
jpeg,{'joint photograph expert group'},{'joint photographic experts group'},1,1
jsp,{'java server page'},{'java server pages'},1,1
jvm,{'java virtual machin'},{'java virtual machine'},1,1
k,{'som'},{'som'},1,1
k-nn,"{'k nearest neighbour', 'k nearest neighbor'}","{'k-nearest neighbors', 'k nearest neighbor', 'k-nearest neighbor', 'k-nearest neighbour'}",4,4
k-svr,{'kernel function support vector regress'},{'kernel function support vector regression'},1,1
kb,{'knowledg base'},{'knowledge base'},1,1
kbqa,{'question answer over knowledg base'},{'question answering over knowledge base'},1,1
kd,{'key hold down time'},{'key hold-down time'},1,1
kdd,"{'knowledg discoveri in databas', 'knowledg discoveri from data', 'knowledg discoveri in data'}","{'knowledge discovery in data', 'knowledge discovery in databases', 'knowledge discovery from data'}",3,3
kde,{'kernel densiti estim'},{'kernel density estimation'},1,1
kdrp,{'keypoint densiti region propos'},{'keypoint density region proposal'},1,1
key words,{'searchlight'},{'searchlight'},1,1
kf,{'kalman filter'},{'kalman filter'},1,1
kl,{'kullback leibler'},{'kullback-leibler'},1,1
kld,{'kullback leibler diverg'},{'kullback-leibler divergence'},1,1
klms,{'kernel least mean squar'},{'kernel least mean square'},1,1
klr,{'kernel logist regress'},{'kernel logistic regression'},1,1
km,"{'kernel method', 'k mean'}","{'kernel method', 'k-means'}",2,2
knn,"{'k nearest neighbour', 'kappa   nearest neighbor', 'k nearest neighbor', '$ k $  nearest neighbor', 'k nearest neighbor classifi'}","{'k-nearest neighbor', 'k-nearest neighbours', 'k-nearest neighbour', 'kappa - nearest neighbor', 'k nearest neighbors', 'k-nearest neighbor classifier', '$k$ -nearest neighbors'}",7,7
kpca,"{'kernel princip compon analysi', 'kernel base princip compon analysi'}","{'kernel-based principal component analysis', 'kernel principal component analysis'}",2,2
kpcanet,{'kernel princip compon analysi net'},{'kernel principal component analysis net'},1,1
kpi,{'key perform indic'},{'key performance indicator'},1,1
kpis,{'key perform indic'},{'key performance indicators'},1,1
kr,{'knowledg represent'},{'knowledge representation'},1,1
krr,{'kernel ridg regress'},{'kernel ridge regression'},1,1
kta,{'kernel target align'},{'kernel target alignment'},1,1
ktd,{'kroneck tensor decomposit'},{'kronecker tensor decomposition'},1,1
l-lda,{'label latent dirichlet alloc'},{'labeled latent dirichlet allocation'},1,1
l-m,{'levenberg marquardt'},{'levenberg-marquardt'},1,1
l2,{'second languag'},{'second language'},1,1
l2r,{'learn to rank'},{'learning-to-rank'},1,1
laa,{'left atrial appendag'},{'left atrial appendage'},1,1
lai,{'leaf area index'},{'leaf area index'},1,1
"lai, fvc, fapar",{'biophys paramet'},{'biophysical parameters'},1,1
lamstar,{'larg memori storag retriev'},{'large memory storage retrieval'},1,1
lars,{'least angl regress and lasso'},{'least angle regression and lasso'},1,1
lasso,{'least absolut shrinkag and select oper'},{'least absolute shrinkage and selection operator'},1,1
lb-cadd,{'ligand base comput aid drug discoveri'},{'ligand-based computer-aided drug discovery'},1,1
lbd,"{'learn by demonstr', 'locat big data'}","{'location big data', 'learning by demonstration'}",2,2
lbp,{'local binari pattern'},"{'local binary pattern', 'local binary patterns'}",2,2
lbps,{'local binari pattern'},{'local binary patterns'},1,1
lbs,{'locat base servic'},{'location-based service'},1,1
lbw,{'low birth weight'},{'low birth weight'},1,1
lc,{'label consist'},{'label consistency'},1,1
lcc,{'local coordin code'},{'local coordinate coding'},1,1
lcoe,{'levelis cost of energi'},{'levelised cost of energy'},1,1
lcr,{'induct capacit resist'},{'inductance-capacitance-resistance'},1,1
lcs,{'learn classifi system'},"{'learning classifier systems', 'learning classifier system'}",2,2
lcsr,{'loop current step respons'},{'loop current step response'},1,1
lcss,{'learn classifi system'},{'learning classifier systems'},1,1
lct,{'local co train'},{'local co-training'},1,1
ld,{'lane detect'},{'lane detection'},1,1
lda,"{'latent dirichlet alloc', 'linear discrimin analysi'}","{'linear discriminant analysis', 'latent dirichlet allocation'}",2,2
lda or fld,{'fisher linear discrimin analysi'},{'fisher linear discriminant analysis'},1,1
ldir,{'low dose ioniz radiat'},{'low dose ionizing radiation'},1,1
ldls,{'low densiti lipoprotein'},{'low-density lipoproteins'},1,1
ldp,"{'local deriv pattern', 'local direct pattern'}","{'local directional pattern', 'local derivative pattern'}",2,2
ldpc,{'low densiti pariti check'},{'low-density parity-check'},1,1
learning,{'artifici intellig'},{'artificial intelligence'},1,1
lep,{'local energi pattern'},{'local energy pattern'},1,1
letor,{'learn to rank'},{'learning to rank'},1,1
lfc,{'load frequenc control'},{'load frequency control'},1,1
lfp,{'local field potenti'},{'local field potential'},1,1
lfs,"{""lissaj ' figur""}","{""lissajous' figures""}",1,1
lgc,{'the local and global consist'},{'the local and global consistency'},1,1
lgs,{'local graph structur'},{'local graph structure'},1,1
li,{'lymphocyt infiltr'},{'lymphocytic infiltration'},1,1
libs,{'laser induc breakdown spectroscopi'},{'laser induced breakdown spectroscopy'},1,1
lidar,{'light detect and rang'},{'light detection and ranging'},1,1
lincrna,{'long intergen non code rna'},{'long intergenic non-coding rna'},1,1
linear,{'machin learn'},{'machine learning'},1,1
liwc,{'linguist inquiri and word count'},{'linguistic inquiry and word count'},1,1
llm,{'least learn machin'},{'least learning machine'},1,1
llr,{'local linear regress'},{'local linear regression'},1,1
llvm,{'low level virtual machin'},{'low level virtual machine'},1,1
lm,{'levenberg marquardt'},"{'levenberg marquardt', 'levenberg-marquardt'}",2,2
lmep,{'local mesh pattern'},{'local mesh patterns'},1,1
lms,"{'least mean squar', 'languag model'}","{'least mean squares', 'language models', 'least mean-square', 'language model'}",4,4
lncrna,{'long non code rna'},{'long non-coding rna'},1,1
loess,{'local weight regress'},{'locally weighted regression'},1,1
lof,{'lack of fusion'},{'lack-of-fusion'},1,1
loi,{'level of invent'},{'level of invention'},1,1
loki,{'lightfram on sight keyspeci investig'},{'lightframe on-sight keyspecies investigation'},1,1
loo,{'leav one out'},{'leave one out'},1,1
loom,{'leav one out method'},{'leave-one-out method'},1,1
lpi,{'low probabl of intercept'},{'low probability of intercept'},1,1
lpp,{'local preserv project'},{'locality preserving projections'},1,1
lpr,"{'licens plate recognit', 'licens plate reader'}","{'license plate reader', 'license plate recognition'}",2,2
lpv,{'linear paramet vari'},{'linear-parameter-varying'},1,1
lr,{'logist regress'},{'logistic regression'},1,1
lrc,{'linear regress classif'},{'linear regression classification'},1,1
lrf,{'local receptivefield'},{'local receptivefield'},1,1
lri,{'local radius index'},{'local radius index'},1,1
lrr,{'low rank represent'},"{'low-rank representation', 'low rank representation'}",2,2
lru,{'least recent use'},{'least-recently-used'},1,1
ls,{'least squar'},{'least squares'},1,1
ls-svm,{'least squar support vector machin'},"{'least square-support vector machine', 'least-squares support vector machine', 'least squares support vector machines', 'least square support vector machines'}",4,4
lsa,{'latent semant analysi'},{'latent semantic analysis'},1,1
lsgan,{'least squar generat adversari network'},{'least squares generative adversarial network'},1,1
lsh,{'local sensit hash'},{'locality sensitive hashing'},1,1
lsi,{'latent semant index'},{'latent semantic indexing'},1,1
lsm,{'level set motion'},{'level-sets motion'},1,1
lsr,{'least squar regress'},{'least square regression'},1,1
lssvm,"{'least squar support vector machin', 'leastsquar support vector machin'}","{'leastsquare support vector machine', 'least square support vector machine', 'least squares support vector machines'}",3,3
lssvms,{'least squar support vector machin'},{'least squares support vector machines'},1,1
lssvr,{'least squar support vector regress'},{'least squares support vector regression'},1,1
lstm,"{'long short term memori network', 'long short term memori neural network', 'long short term memori', 'recurr neural network ( rnn ) long short term memori', 'long short term memori model'}","{'long short term memory', 'long short-term memory neural networks', 'long short-term memory', 'long-short-term-memory', 'long short-term memory neural network', 'long short term memory networks', 'long-short term memory', 'recurrent neural network (rnn) long short-term memory', 'long short-term memory model'}",9,9
lstm2,"{'replstm , ranklstm'}","{'replstm, ranklstm'}",1,1
lsvm,{'linear support vector machin'},{'linear support vector machine'},1,1
ltd,{'long term depress'},{'long-term depression'},1,1
lte-laa,{'licens assist access lte'},{'licensed assisted access lte'},1,1
ltlf,{'long term load forecast'},{'long-term load forecasting'},1,1
ltp,{'long term potenti'},{'long-term potentiation'},1,1
lts-fnn,{'lts fuzzi neural network'},{'lts-fuzzy neural network'},1,1
lu,{'land use'},{'land-use'},1,1
lulc,{'land use/land cover'},{'land use/land cover'},1,1
lvcsr,{'larg vocabulari continu speech recognit'},{'large vocabulary continuous speech recognition'},1,1
lvq,{'learn vector quantize'},{'learning vector quantization'},1,1
lvq-nn,{'learn vector quantize'},{'learning vector quantization'},1,1
m2m,"{'machin 2 machin', 'machin to machin'}","{'machine-to-machine', 'machine to machine', 'machine 2 machine'}",3,3
mac,{'medium access control'},{'medium access control'},1,1
machine learning,{'artifici intellig'},{'artificial intelligence'},1,1
madm,{'multipl attribut decis make'},{'multiple attribute decision making'},1,1
mafia,{'maxim frequent itemset algorithm'},{'maximal frequent itemset algorithm'},1,1
manet,{'mobil ad hoc network'},{'mobile ad hoc network'},1,1
map,"{'multiattribut profil', 'maximum posteriori', 'maximum a posteriori probabl', 'bayesian maximum a posteriori'}","{'maximum a posteriori probability', 'maximum posteriori', 'multiattribute profile', 'bayesian maximum a posteriori'}",4,4
mape,{'mean absolut percentag error'},{'mean absolute percentage error'},1,1
mapped ls-svm,{'map least squar support vector machin'},{'mapped least-squares support vector machine'},1,1
mars,{'multivari adapt regress spline'},{'multivariate adaptive regression splines'},1,1
mas,{'multi agent system'},{'multi-agent system'},1,1
mass,{'multiag system'},{'multiagent systems'},1,1
maxent,{'maximum entropi'},{'maximum entropy'},1,1
mban,{'medic bodi area network'},{'medical body area network'},1,1
mbir,{'model base infrar reflectometri'},{'model based infrared reflectometry'},1,1
mbmmr,"{'multiband , multimod radio'}","{'multiband, multimode radio'}",1,1
mca,{'morpholog compon analysi'},{'morphological component analysis'},1,1
mcaps,{'move cognit access point'},{'moving cognitive access points'},1,1
mcca,"{'multiview canon correl analysi', 'multiway canon correl analysi'}","{'multiway canonical correlation analysis', 'multiview canonical correlation analysis'}",2,2
mccv,{'mont carlo cross valid approach'},{'monte-carlo cross-validation approach'},1,1
mcda,{'multi criteria decis analysi'},{'multi-criteria decision analysis'},1,1
mcdm,"{'multicriteria decis make', 'multi criteria decis make', 'multipl criteria decis make'}","{'multi-criteria decision making', 'multicriteria decision-making', 'multiple criteria decision making'}",3,3
mce,{'minimum classif error'},{'minimum classification error'},1,1
mcfelm,{'meta cognit fuzzi elm'},{'meta-cognitive fuzzy elm'},1,1
mci,{'mild cognit impair'},{'mild cognitive impairment'},1,1
mcl,{'mutual coher learn'},{'mutual coherence learning'},1,1
mcmc,{'markov chain mont carlo'},{'markov chain monte carlo'},1,1
mcnn,{'multiscal convolut neural network'},{'multiscale convolutional neural network'},1,1
mcs,"{'microcalcif', 'mont carlo simul', 'cluster microcalcif', 'tissu surround microcalcif', 'maximum common substructur', 'mobil crowdsens'}","{'maximum common substructure', 'tissue surrounding microcalcifications', 'monte-carlo simulation', 'clustered microcalcifications', 'microcalcifications', 'mobile crowdsensing'}",6,6
mcsa,{'motor current signatur analysi'},{'motor current signature analysis'},1,1
mcsae,{'modifi convolut denois autoencod'},{'modified convolutional denoising autoencoder'},1,1
mcts,{'mont carlo tree search'},{'monte carlo tree search'},1,1
md,"{'multidimension', 'mahalanobi distanc', 'mean diffus'}","{'mean diffusivity', 'multidimensional', 'mahalanobis distance'}",3,3
mdd,{'major depress disord'},{'major depressive disorder'},1,1
mdep,{'multi stage distribut expans plan'},{'multi-stage distribution expansion planning'},1,1
mdl,{'minimum descript length'},{'minimum description length'},1,1
mdo,{'multidisciplinari design optim'},{'multidisciplinary design optimization'},1,1
mdp,{'markov decis process'},"{'markov decision process', 'markov decision processes'}",2,2
mds,"{'medic diagnosi system', 'multidimension scale', 'micro doppler signatur', 'multidocu summar'}","{'multidocument summarization', 'multidimensional scaling', 'micro-doppler signature', 'medical diagnosis system'}",4,4
me,{'maximum entropi'},{'maximum entropy'},1,1
mea,{'multiel antenna'},{'multielement antenna'},1,1
med,{'multimedia event detect'},{'multimedia event detection'},1,1
memory leaks,{'softwar age'},{'software aging'},1,1
mems,{'microelectromechan system'},{'microelectromechanical system'},1,1
mes,{'myoelectr signal'},{'myoelectric signal'},1,1
met,{'metabol equival of task'},{'metabolic equivalent of task'},1,1
mfc,"{'macro fiber composit', 'magnet field comput'}","{'macro-fiber composite', 'magnetic field computation'}",2,2
mfml,{'multifunct machin learn'},{'multifunctional machine learning'},1,1
mfnn,{'maximum likelihood fuzzi neural network'},{'maximum likelihood fuzzy neural networks'},1,1
mfr,{'modul format recognit'},{'modulation format recognition'},1,1
mga,{'multiscal geometr analysi'},{'multiscale geometric analysis'},1,1
mgc,{'market generat content'},{'marketer-generated content'},1,1
mhealth,{'mobil health'},{'mobile health'},1,1
mi,"{'motor imageri', 'mutual inform'}","{'motor imagery', 'mutual information'}",2,2
mia,{'multivari imag analysi'},{'multivariate image analysis'},1,1
mib,{'remot monitor ( rmon ) manag inform base'},{'remote monitoring (rmon) management information base'},1,1
mici,{'maxim inform compress index'},{'maximal information compression index'},1,1
micorenet,{'mix convolut and residu network'},{'mixed convolutional and residual network'},1,1
miga,{'multi tier interact genet algorithm'},{'multi-tier interactive genetic algorithm'},1,1
mil,{'multipl instanc learn'},"{'multiple-instance learning', 'multiple instance learning'}",2,2
mimo,"{'massiv multipl input multipl output', 'multius multipl input multipl output', 'multipl input multipl output'}","{'multiuser multiple-input-multiple-output', 'massive multiple-input-multiple-output', 'multiple-input multiple-output'}",3,3
mimo-ofdm,{'multipl input multipl output orthogon frequenc divis multiplex'},{'multiple-input multiple-output orthogonal frequency-division multiplexing'},1,1
miot,{'medic internet of thing'},{'medical internet of things'},1,1
mir,"{'multivari imag regress', 'music inform retriev'}","{'music information retrieval', 'multivariate image regression'}",2,2
mix,{'multi level cell'},{'multi-level cell'},1,1
mkl,"{'multipl kernel learn', 'text categor , multipl kernel learn'}","{'text categorization,multiple kernel learning', 'multiple kernel learning'}",2,2
mkpc,{'multipl kernel base probabilist cluster'},{'multiple kernel based probabilistic clustering'},1,1
ml,"{'maximum likelihood', 'neural network ( nn ) . machin learn', 'machin learn', 'artifici intellig and machin learn', 'multiobject machin learn', 'iter machin learn'}","{'maximum likelihood', 'iterative machine learning', 'artificial intelligence and machine learning', 'machine-learning', 'multiobjective machine learning', 'machine learning', 'neural network (nn). machine learning'}",7,7
ml methods,{'machin learn method'},{'machine learning methods'},1,1
ml&dm,{'machin learn and data mine'},{'machine learning and data mining'},1,1
mlas,{'machin learn algorithm'},{'machine learning algorithms'},1,1
mlc,"{'multi label classif', 'machin learn classifi'}","{'multi label classification', 'machine learning classifier'}",2,2
mlcnn,{'multi layer convolut neural network'},{'multi-layer convolution neural network'},1,1
mle,{'maximum likelihood estim'},{'maximum likelihood estimation'},1,1
mlir,"{""multilingu inform retriev '""}","{""'multilingual information retrieval'""}",1,1
mlp,"{'multilay perceptron', 'multi layer perceptron'}","{'multilayered perceptron', 'multi layered perceptron', 'multi layer perceptron', 'multilayer perceptron'}",4,4
mlpn,{'multilay perceptron network'},{'multilayer perceptron network'},1,1
mlpnn,{'multi layer perceptron neural network'},{'multi-layer perceptron neural network'},1,1
mlps,{'multilay perceptron'},{'multilayer perceptrons'},1,1
mlr,"{'multipl linear regress', 'multinomi logist regress'}","{'multiple linear regression', 'multinomial logistic regression'}",2,2
